0,CombatZoneResizeInstant,239,226,404,391,;,
0,SansText,Ready?,,;,,,
0,HeartTeleport,310,304,;,,,
0,HeartMode,1,;,,,,
0,SansSlam,2,;,,,,
0,SansBody,HandLeft,;,,,,
0.4,BoneStab,2,25,0.01,0.05,;,
0,HeartMode,0,;,,,,
0.3,BoneH,266,226,150,1,250,0;
0,BoneH,266,391,150,1,-250,0;
0.3,BlackScreen,1,;,,,,
0,Sound,Flash,,;,,,
0.1,BlackScreen,0,;,,,,
0,Sound,Flash,,;,,,
0,HeartTeleport,310,304,;,,,
0,HeartMode,1,;,,,,
0,SansSlam,3,;,,,,
0,SansBody,HandUp,;,,,,
0.3,BoneStab,3,25,0.01,0.05,;,
0,HeartMode,0,;,,,,
0.3,BoneV,239,256,150,0,250,0;
0,BoneV,404,256,150,0,-250,0;
0.3,BlackScreen,1,;,,,,
0,Sound,Flash,,;,,,
0.1,BlackScreen,0,;,,,,
0,Sound,Flash,,;,,,
0,HeartTeleport,310,304,;,,,
0,HeartMode,1,;,,,,
0,SansSlam,2,;,,,,
0,SansBody,HandLeft,;,,,,
0.3,BoneStab,2,25,0.01,0.05,;,
0,HeartMode,0,;,,,,
0.3,BoneH,266,226,150,1,250,0;
0,BoneH,266,391,150,1,-250,0;
0.3,BlackScreen,1,;,,,,
0,Sound,Flash,,;,,,
0.1,BlackScreen,0,;,,,,
0,Sound,Flash,,;,,,
0,HeartTeleport,310,304,;,,,
0,HeartMode,1,;,,,,
0,SansSlam,1,;,,,,
0,SansBody,HandDown,;,,,,
0.3,BoneStab,1,25,0.01,0.05,;,
0,HeartMode,0,;,,,,
0.3,BoneV,239,216,150,0,250,0;
0,BoneV,404,216,150,0,-250,0;
